,zone,idle_suuply1500,served_1500,denied1500,total_demand1500,denied_rate1500,idle_suuply2000,served_2000,denied2000,total_demand2000,denied_rate2000,idle_suuply2500,served_2500,denied2500,total_demand2500,denied_rate2500,idle_suuply3000,served_3000,denied3000,total_demand3000,denied_rate3000,idle_suuply3500,served_3500,denied3500,total_demand3500,denied_rate3500,idle_suuply4000,served_4000,denied4000,total_demand4000,denied_rate4000
19,74,3.0,143.0,105.0,283.0,0.3710234239454985,5.0,161.0,87.0,283.0,0.30741940841198445,2.0,180.0,66.0,283.0,0.23321472362288476,56.0,236.0,19.0,283.0,0.06713757195204258,53.0,238.0,20.0,283.0,0.07067112837057113,61.0,241.0,11.0,283.0,0.038869120603814124
20,114,0.0,162.0,106.0,292.0,0.3630124554367965,9.0,200.0,76.0,292.0,0.26027308125657106,25.0,222.0,52.0,292.0,0.17808158191239074,31.0,254.0,21.0,292.0,0.0719175619261578,70.0,255.0,26.0,292.0,0.08904079095619537,81.0,267.0,5.0,292.0,0.01712322903003757
21,166,4.0,110.0,110.0,240.0,0.45833142361906826,8.0,124.0,95.0,240.0,0.39583168403464986,25.0,168.0,57.0,240.0,0.2374990104207899,28.0,197.0,24.0,240.0,0.09999958333506943,41.0,178.0,44.0,240.0,0.1833325694476273,51.0,196.0,21.0,240.0,0.08749963541818576
22,144,3.0,104.0,111.0,231.0,0.4805174003575742,2.0,143.0,77.0,231.0,0.33333189033813704,12.0,153.0,66.0,231.0,0.2857130488612603,21.0,188.0,26.0,231.0,0.11255362530898134,28.0,200.0,19.0,231.0,0.08225072618733252,27.0,189.0,31.0,231.0,0.13419855325301622
23,211,0.0,109.0,120.0,247.0,0.4858279925992202,11.0,163.0,66.0,247.0,0.26720539592957115,9.0,158.0,74.0,247.0,0.2995939287695191,20.0,197.0,38.0,247.0,0.15384553098975307,63.0,214.0,19.0,247.0,0.07692276549487653,84.0,222.0,8.0,247.0,0.03238853283994802
24,224,6.0,160.0,129.0,317.0,0.40693877937293577,14.0,224.0,63.0,317.0,0.19873754341468955,16.0,236.0,52.0,317.0,0.16403733742164853,26.0,272.0,12.0,317.0,0.03785477017422658,63.0,287.0,3.0,317.0,0.009463692543556645,91.0,280.0,8.0,317.0,0.02523651344948439
25,158,0.0,209.0,161.0,410.0,0.39268196906836816,9.0,263.0,116.0,410.0,0.2829261392045385,11.0,306.0,79.0,410.0,0.19268245687205643,54.0,328.0,47.0,410.0,0.11463386674666648,92.0,387.0,2.0,410.0,0.004878036882836872,77.0,375.0,11.0,410.0,0.026829202855602793
26,261,4.0,113.0,168.0,297.0,0.5656546610954172,3.0,155.0,116.0,297.0,0.39057107551826425,10.0,200.0,76.0,297.0,0.2558913943050697,16.0,235.0,48.0,297.0,0.1616156174558335,12.0,210.0,70.0,297.0,0.2356894421230905,35.0,259.0,20.0,297.0,0.06733984060659728
27,87,0.0,153.0,179.0,363.0,0.4931115892242721,8.0,193.0,140.0,363.0,0.38567386866702846,38.0,244.0,92.0,363.0,0.25344282798119017,20.0,264.0,68.0,363.0,0.187327307638271,37.0,289.0,50.0,363.0,0.1377406673810816,37.0,313.0,22.0,363.0,0.06060589364767591
28,246,10.0,295.0,199.0,538.0,0.36988778831266117,16.0,383.0,119.0,538.0,0.2211891799457622,17.0,470.0,42.0,538.0,0.07806676939262196,41.0,488.0,24.0,538.0,0.04460958251006968,76.0,483.0,27.0,538.0,0.050185780323828394,162.0,507.0,3.0,538.0,0.00557619781375871
29,75,2.0,305.0,203.0,549.0,0.36976253230868433,10.0,365.0,131.0,549.0,0.23861523020905245,12.0,428.0,83.0,549.0,0.15118369547596452,44.0,451.0,59.0,549.0,0.10746792810942057,124.0,497.0,19.0,549.0,0.0346083158318473,98.0,515.0,1.0,549.0,0.0018214903069393316
30,43,1.0,335.0,222.0,611.0,0.3633381942091748,20.0,406.0,146.0,611.0,0.23895214574116902,34.0,520.0,49.0,611.0,0.08019626809121426,50.0,545.0,32.0,611.0,0.052373073039160334,110.0,557.0,27.0,611.0,0.044189780376791526,150.0,565.0,9.0,611.0,0.014729926792263842
31,137,4.0,627.0,230.0,945.0,0.24338598583493562,0.0,677.0,184.0,945.0,0.1947087886679485,89.0,822.0,33.0,945.0,0.034920597967621196,207.0,869.0,0.0,945.0,0.0,289.0,864.0,0.0,945.0,0.0,384.0,883.0,0.0,945.0,0.0
