,,0,1,2,3,4
92.0,238,106.0,0.0,10.0,62.0,0.1388888888888889
92.0,239,94.0,0.0,8.0,52.0,0.13333333333333333
92.0,113,60.0,0.0,3.0,28.0,0.0967741935483871
92.0,114,23.0,0.0,0.0,14.0,0.0
92.0,243,2.0,0.0,0.0,2.0,0.0
92.0,116,15.0,0.0,1.0,5.0,0.16666666666666666
92.0,244,14.0,0.0,1.0,10.0,0.09090909090909091
92.0,246,32.0,0.0,2.0,23.0,0.08
92.0,120,0.0,0.0,0.0,0.0,0.0
92.0,249,63.0,0.0,6.0,24.0,0.2
92.0,125,15.0,0.0,2.0,8.0,0.2
92.0,127,0.0,0.0,0.0,0.0,0.0
93.0,128,0.0,0.0,0.0,0.0,0.0
93.0,4,12.0,0.0,1.0,9.0,0.1
93.0,261,15.0,0.0,0.0,6.0,0.0
93.0,262,136.0,0.0,6.0,74.0,0.075
93.0,263,117.0,0.0,8.0,63.0,0.11267605633802817
93.0,137,79.0,0.0,8.0,46.0,0.14814814814814814
93.0,12,1.0,0.0,0.0,1.0,0.0
93.0,13,60.0,0.0,2.0,16.0,0.1111111111111111
93.0,140,80.0,0.0,12.0,59.0,0.16901408450704225
93.0,141,109.0,0.0,10.0,63.0,0.136986301369863
93.0,142,96.0,0.0,11.0,63.0,0.14864864864864866
93.0,143,54.0,0.0,6.0,36.0,0.14285714285714285
93.0,144,9.0,0.0,1.0,1.0,0.5
93.0,148,28.0,0.0,3.0,16.0,0.15789473684210525
93.0,151,42.0,0.0,4.0,25.0,0.13793103448275862
93.0,24,18.0,0.0,1.0,9.0,0.1
93.0,152,9.0,0.0,1.0,6.0,0.14285714285714285
93.0,158,29.0,0.0,1.0,13.0,0.07142857142857142
93.0,161,80.0,0.0,6.0,50.0,0.10714285714285714
93.0,162,136.0,0.0,6.0,90.0,0.0625
93.0,163,55.0,0.0,7.0,31.0,0.18421052631578946
93.0,164,50.0,0.0,6.0,31.0,0.16216216216216217
93.0,166,25.0,0.0,1.0,21.0,0.045454545454545456
93.0,41,32.0,0.0,3.0,19.0,0.13636363636363635
93.0,42,18.0,0.0,1.0,9.0,0.1
93.0,43,25.0,0.0,4.0,12.0,0.25
93.0,170,132.0,0.0,9.0,92.0,0.0891089108910891
93.0,45,4.0,0.0,0.0,3.0,0.0
93.0,48,150.0,0.0,7.0,83.0,0.07777777777777778
93.0,50,43.0,0.0,1.0,28.0,0.034482758620689655
93.0,186,274.0,0.0,17.0,159.0,0.09659090909090909
93.0,194,0.0,0.0,0.0,0.0,0.0
93.0,68,84.0,0.0,7.0,43.0,0.14
93.0,74,37.0,0.0,5.0,15.0,0.25
93.0,75,51.0,0.0,2.0,34.0,0.05555555555555555
93.0,79,75.0,0.0,8.0,55.0,0.12698412698412698
93.0,209,4.0,0.0,0.0,1.0,0.0
93.0,211,5.0,0.0,1.0,2.0,0.3333333333333333
93.0,87,32.0,0.0,2.0,10.0,0.16666666666666666
93.0,88,21.0,0.0,1.0,9.0,0.1
93.0,90,67.0,0.0,14.0,42.0,0.25
93.0,224,36.0,0.0,2.0,26.0,0.07142857142857142
93.0,100,187.0,0.0,23.0,112.0,0.17037037037037037
93.0,229,106.0,0.0,4.0,64.0,0.058823529411764705
93.0,230,56.0,0.0,4.0,28.0,0.125
93.0,231,49.0,0.0,13.0,19.0,0.40625
93.0,232,0.0,0.0,0.0,0.0,0.0
93.0,233,56.0,0.0,1.0,33.0,0.029411764705882353
93.0,234,78.0,0.0,7.0,53.0,0.11666666666666667
93.0,107,123.0,0.0,9.0,73.0,0.10975609756097561
93.0,236,168.0,0.0,14.0,92.0,0.1320754716981132
93.0,237,130.0,0.0,8.0,76.0,0.09523809523809523
93.0,238,101.0,0.0,5.0,67.0,0.06944444444444445
93.0,239,91.0,0.0,3.0,57.0,0.05
93.0,113,52.0,0.0,7.0,24.0,0.22580645161290322
93.0,114,20.0,0.0,2.0,12.0,0.14285714285714285
93.0,243,2.0,0.0,0.0,2.0,0.0
93.0,116,15.0,0.0,0.0,6.0,0.0
93.0,244,14.0,0.0,0.0,11.0,0.0
93.0,246,30.0,0.0,2.0,23.0,0.08
93.0,120,0.0,0.0,0.0,0.0,0.0
93.0,249,55.0,0.0,7.0,23.0,0.23333333333333334
93.0,125,14.0,0.0,1.0,9.0,0.1
93.0,127,0.0,0.0,0.0,0.0,0.0
94.0,128,0.0,0.0,0.0,0.0,0.0
94.0,4,24.0,0.0,2.0,12.0,0.14285714285714285
94.0,261,23.0,0.0,0.0,9.0,0.0
94.0,262,183.0,0.0,9.0,47.0,0.16071428571428573
94.0,263,175.0,0.0,10.0,59.0,0.14492753623188406
94.0,137,129.0,0.0,8.0,50.0,0.13793103448275862
94.0,12,1.0,0.0,0.0,0.0,0.0
94.0,13,95.0,0.0,6.0,35.0,0.14634146341463414
94.0,140,159.0,0.0,10.0,80.0,0.1111111111111111
94.0,141,207.0,0.0,13.0,99.0,0.11607142857142858
94.0,142,167.0,0.0,7.0,72.0,0.08860759493670886
94.0,143,81.0,0.0,8.0,27.0,0.22857142857142856
94.0,144,21.0,0.0,0.0,12.0,0.0
94.0,148,37.0,0.0,1.0,10.0,0.09090909090909091
94.0,151,74.0,0.0,2.0,32.0,0.058823529411764705
94.0,24,33.0,0.0,0.0,15.0,0.0
94.0,152,15.0,0.0,1.0,6.0,0.14285714285714285
94.0,158,53.0,0.0,0.0,24.0,0.0
94.0,161,130.0,0.0,12.0,51.0,0.19047619047619047
94.0,162,215.0,0.0,9.0,81.0,0.1
94.0,163,80.0,0.0,9.0,25.0,0.2647058823529412
94.0,164,92.0,0.0,5.0,42.0,0.10638297872340426
94.0,166,34.0,0.0,5.0,9.0,0.35714285714285715
94.0,41,49.0,0.0,3.0,18.0,0.14285714285714285
94.0,42,32.0,0.0,0.0,14.0,0.0
94.0,43,55.0,0.0,1.0,30.0,0.03225806451612903
94.0,170,236.0,0.0,12.0,106.0,0.1016949152542373
94.0,45,6.0,0.0,0.0,3.0,0.0
94.0,48,231.0,0.0,12.0,83.0,0.12631578947368421
94.0,50,82.0,0.0,3.0,40.0,0.06976744186046512
94.0,186,443.0,0.0,15.0,170.0,0.08108108108108109
94.0,194,0.0,0.0,0.0,0.0,0.0
94.0,68,131.0,0.0,3.0,49.0,0.057692307692307696
94.0,74,59.0,0.0,3.0,22.0,0.12
94.0,75,82.0,0.0,4.0,31.0,0.11428571428571428
94.0,79,134.0,0.0,5.0,60.0,0.07692307692307693
94.0,209,6.0,0.0,1.0,2.0,0.3333333333333333
94.0,211,14.0,0.0,1.0,9.0,0.1
94.0,87,55.0,0.0,0.0,23.0,0.0
94.0,88,26.0,0.0,2.0,5.0,0.2857142857142857
94.0,90,98.0,0.0,7.0,31.0,0.18421052631578946
94.0,224,48.0,0.0,6.0,13.0,0.3157894736842105
94.0,100,252.0,0.0,11.0,67.0,0.14102564102564102
94.0,229,167.0,0.0,5.0,62.0,0.07462686567164178
94.0,230,86.0,0.0,11.0,32.0,0.2558139534883721
94.0,231,71.0,0.0,6.0,24.0,0.2
94.0,232,4.0,0.0,0.0,4.0,0.0
94.0,233,96.0,0.0,8.0,41.0,0.16326530612244897
94.0,234,126.0,0.0,7.0,50.0,0.12280701754385964
94.0,107,194.0,0.0,8.0,73.0,0.09876543209876543
94.0,236,292.0,0.0,21.0,125.0,0.14383561643835616
94.0,237,240.0,0.0,11.0,111.0,0.09016393442622951
94.0,238,161.0,0.0,4.0,61.0,0.06153846153846154
94.0,239,159.0,0.0,12.0,71.0,0.14457831325301204
94.0,113,95.0,0.0,1.0,44.0,0.022222222222222223
94.0,114,30.0,0.0,2.0,10.0,0.16666666666666666
94.0,243,3.0,0.0,0.0,1.0,0.0
94.0,116,24.0,0.0,1.0,9.0,0.1
94.0,244,21.0,0.0,1.0,7.0,0.125
94.0,246,48.0,0.0,2.0,18.0,0.1
94.0,120,0.0,0.0,0.0,0.0,0.0
94.0,249,88.0,0.0,4.0,33.0,0.10810810810810811
94.0,125,20.0,0.0,1.0,6.0,0.14285714285714285
94.0,127,1.0,0.0,0.0,1.0,0.0
95.0,128,0.0,0.0,0.0,0.0,0.0
95.0,4,23.0,0.0,1.0,13.0,0.07142857142857142
95.0,261,22.0,0.0,1.0,8.0,0.1111111111111111
95.0,262,169.0,0.0,11.0,45.0,0.19642857142857142
95.0,263,168.0,0.0,6.0,63.0,0.08695652173913043
95.0,137,120.0,0.0,8.0,50.0,0.13793103448275862
95.0,12,1.0,0.0,0.0,0.0,0.0
95.0,13,87.0,0.0,8.0,33.0,0.1951219512195122
95.0,140,153.0,0.0,6.0,84.0,0.06666666666666667
95.0,141,193.0,0.0,14.0,98.0,0.125
95.0,142,154.0,0.0,12.0,67.0,0.1518987341772152
95.0,143,75.0,0.0,5.0,30.0,0.14285714285714285
95.0,144,18.0,0.0,3.0,9.0,0.25
95.0,148,36.0,0.0,1.0,10.0,0.09090909090909091
95.0,151,70.0,0.0,4.0,30.0,0.11764705882352941
95.0,24,33.0,0.0,0.0,15.0,0.0
95.0,152,15.0,0.0,0.0,7.0,0.0
95.0,158,52.0,0.0,0.0,24.0,0.0
95.0,161,120.0,0.0,9.0,54.0,0.14285714285714285
95.0,162,203.0,0.0,11.0,79.0,0.12222222222222222
95.0,163,71.0,0.0,8.0,26.0,0.23529411764705882
95.0,164,90.0,0.0,2.0,45.0,0.0425531914893617
95.0,166,29.0,0.0,4.0,10.0,0.2857142857142857
95.0,41,47.0,0.0,2.0,19.0,0.09523809523809523
95.0,42,29.0,0.0,3.0,11.0,0.21428571428571427
95.0,43,50.0,0.0,4.0,27.0,0.12903225806451613
95.0,170,214.0,0.0,21.0,97.0,0.17796610169491525
95.0,45,6.0,0.0,0.0,3.0,0.0
95.0,48,219.0,0.0,11.0,84.0,0.11578947368421053
95.0,50,77.0,0.0,5.0,38.0,0.11627906976744186
95.0,186,418.0,0.0,24.0,161.0,0.12972972972972974
95.0,194,0.0,0.0,0.0,0.0,0.0
95.0,68,124.0,0.0,6.0,46.0,0.11538461538461539
95.0,74,56.0,0.0,2.0,23.0,0.08
95.0,75,75.0,0.0,7.0,28.0,0.2
95.0,79,125.0,0.0,8.0,57.0,0.12307692307692308
95.0,209,6.0,0.0,0.0,3.0,0.0
95.0,211,13.0,0.0,1.0,9.0,0.1
95.0,87,50.0,0.0,5.0,18.0,0.21739130434782608
95.0,88,26.0,0.0,0.0,7.0,0.0
95.0,90,94.0,0.0,4.0,34.0,0.10526315789473684
95.0,224,47.0,0.0,1.0,18.0,0.05263157894736842
95.0,100,240.0,0.0,11.0,67.0,0.14102564102564102
95.0,229,156.0,0.0,10.0,57.0,0.14925373134328357
95.0,230,79.0,0.0,7.0,36.0,0.16279069767441862
95.0,231,67.0,0.0,4.0,26.0,0.13333333333333333
95.0,232,4.0,0.0,0.0,4.0,0.0
95.0,233,89.0,0.0,6.0,43.0,0.12244897959183673
95.0,234,122.0,0.0,4.0,53.0,0.07017543859649122
95.0,107,183.0,0.0,9.0,72.0,0.1111111111111111
95.0,236,276.0,0.0,13.0,133.0,0.08904109589041095
95.0,237,227.0,0.0,12.0,110.0,0.09836065573770492
95.0,238,153.0,0.0,7.0,58.0,0.1076923076923077
95.0,239,154.0,0.0,4.0,79.0,0.04819277108433735
95.0,113,90.0,0.0,5.0,40.0,0.1111111111111111
95.0,114,29.0,0.0,1.0,11.0,0.08333333333333333
95.0,243,3.0,0.0,0.0,1.0,0.0
95.0,116,22.0,0.0,1.0,9.0,0.1
95.0,244,21.0,0.0,0.0,8.0,0.0
95.0,246,46.0,0.0,2.0,18.0,0.1
95.0,120,0.0,0.0,0.0,0.0,0.0
95.0,249,82.0,0.0,5.0,32.0,0.13513513513513514
95.0,125,19.0,0.0,1.0,6.0,0.14285714285714285
95.0,127,1.0,0.0,0.0,1.0,0.0
96.0,128,0.0,0.0,0.0,0.0,0.0
96.0,4,22.0,0.0,1.0,13.0,0.07142857142857142
96.0,261,21.0,0.0,1.0,8.0,0.1111111111111111
96.0,262,162.0,0.0,5.0,51.0,0.08928571428571429
96.0,263,159.0,0.0,8.0,61.0,0.11594202898550725
96.0,137,110.0,0.0,9.0,49.0,0.15517241379310345
96.0,12,1.0,0.0,0.0,0.0,0.0
96.0,13,87.0,0.0,0.0,41.0,0.0
96.0,140,141.0,0.0,9.0,81.0,0.1
96.0,141,175.0,0.0,16.0,96.0,0.14285714285714285
96.0,142,145.0,0.0,8.0,71.0,0.10126582278481013
96.0,143,71.0,0.0,3.0,32.0,0.08571428571428572
96.0,144,18.0,0.0,0.0,12.0,0.0
96.0,148,36.0,0.0,0.0,11.0,0.0
96.0,151,64.0,0.0,5.0,29.0,0.14705882352941177
96.0,24,29.0,0.0,4.0,11.0,0.26666666666666666
96.0,152,14.0,0.0,1.0,6.0,0.14285714285714285
96.0,158,47.0,0.0,5.0,19.0,0.20833333333333334
96.0,161,109.0,0.0,9.0,54.0,0.14285714285714285
96.0,162,192.0,0.0,9.0,81.0,0.1
96.0,163,67.0,0.0,3.0,31.0,0.08823529411764706
96.0,164,88.0,0.0,1.0,46.0,0.02127659574468085
96.0,166,28.0,0.0,1.0,13.0,0.07142857142857142
96.0,41,44.0,0.0,3.0,18.0,0.14285714285714285
96.0,42,27.0,0.0,2.0,12.0,0.14285714285714285
96.0,43,48.0,0.0,2.0,29.0,0.06451612903225806
96.0,170,201.0,0.0,12.0,106.0,0.1016949152542373
96.0,45,4.0,0.0,2.0,1.0,0.6666666666666666
96.0,48,210.0,0.0,8.0,87.0,0.08421052631578947
96.0,50,74.0,0.0,3.0,40.0,0.06976744186046512
96.0,186,390.0,0.0,26.0,159.0,0.14054054054054055
96.0,194,0.0,0.0,0.0,0.0,0.0
96.0,68,115.0,0.0,8.0,44.0,0.15384615384615385
96.0,74,53.0,0.0,3.0,22.0,0.12
96.0,75,74.0,0.0,0.0,35.0,0.0
96.0,79,110.0,0.0,15.0,50.0,0.23076923076923078
96.0,209,6.0,0.0,0.0,3.0,0.0
96.0,211,12.0,0.0,1.0,9.0,0.1
96.0,87,48.0,0.0,2.0,21.0,0.08695652173913043
96.0,88,26.0,0.0,0.0,7.0,0.0
96.0,90,90.0,0.0,4.0,34.0,0.10526315789473684
96.0,224,47.0,0.0,0.0,19.0,0.0
96.0,100,229.0,0.0,9.0,69.0,0.11538461538461539
96.0,229,145.0,0.0,10.0,57.0,0.14925373134328357
96.0,230,71.0,0.0,6.0,37.0,0.13953488372093023
96.0,231,61.0,0.0,5.0,25.0,0.16666666666666666
96.0,232,4.0,0.0,0.0,4.0,0.0
96.0,233,87.0,0.0,2.0,47.0,0.04081632653061224
96.0,234,116.0,0.0,6.0,51.0,0.10526315789473684
96.0,107,170.0,0.0,12.0,69.0,0.14814814814814814
96.0,236,258.0,0.0,17.0,129.0,0.11643835616438356
96.0,237,215.0,0.0,11.0,111.0,0.09016393442622951
96.0,238,145.0,0.0,7.0,58.0,0.1076923076923077
96.0,239,145.0,0.0,8.0,75.0,0.0963855421686747
96.0,113,84.0,0.0,6.0,39.0,0.13333333333333333
96.0,114,28.0,0.0,1.0,11.0,0.08333333333333333
96.0,243,3.0,0.0,0.0,1.0,0.0
96.0,116,22.0,0.0,0.0,10.0,0.0
96.0,244,21.0,0.0,0.0,8.0,0.0
96.0,246,46.0,0.0,0.0,20.0,0.0
96.0,120,0.0,0.0,0.0,0.0,0.0
96.0,249,79.0,0.0,3.0,34.0,0.08108108108108109
96.0,125,18.0,0.0,1.0,6.0,0.14285714285714285
96.0,127,1.0,0.0,0.0,1.0,0.0
97.0,128,0.0,0.0,0.0,0.0,0.0
97.0,4,32.0,0.0,1.0,10.0,0.09090909090909091
97.0,261,27.0,0.0,0.0,6.0,0.0
97.0,262,221.0,0.0,8.0,60.0,0.11764705882352941
97.0,263,240.0,0.0,7.0,81.0,0.07954545454545454
97.0,137,168.0,0.0,6.0,58.0,0.09375
97.0,12,2.0,0.0,0.0,1.0,0.0
97.0,13,126.0,0.0,1.0,39.0,0.025
97.0,140,222.0,0.0,13.0,84.0,0.13402061855670103
97.0,141,269.0,0.0,14.0,96.0,0.12727272727272726
97.0,142,202.0,0.0,11.0,57.0,0.16176470588235295
97.0,143,109.0,0.0,8.0,39.0,0.1702127659574468
97.0,144,27.0,0.0,1.0,9.0,0.1
97.0,148,43.0,0.0,5.0,7.0,0.4166666666666667
97.0,151,98.0,0.0,3.0,35.0,0.07894736842105263
97.0,24,40.0,0.0,0.0,11.0,0.0
97.0,152,19.0,0.0,1.0,5.0,0.16666666666666666
97.0,158,55.0,0.0,6.0,8.0,0.42857142857142855
97.0,161,147.0,0.0,8.0,38.0,0.17391304347826086
97.0,162,261.0,0.0,7.0,70.0,0.09090909090909091
97.0,163,101.0,0.0,3.0,34.0,0.08108108108108109
97.0,164,130.0,0.0,8.0,44.0,0.15384615384615385
97.0,166,38.0,0.0,2.0,10.0,0.16666666666666666
97.0,41,68.0,0.0,2.0,24.0,0.07692307692307693
97.0,42,38.0,0.0,0.0,12.0,0.0
97.0,43,61.0,0.0,3.0,13.0,0.1875
97.0,170,312.0,0.0,11.0,112.0,0.08943089430894309
97.0,45,7.0,0.0,1.0,3.0,0.25
97.0,48,293.0,0.0,9.0,85.0,0.09574468085106383
97.0,50,100.0,0.0,9.0,26.0,0.2571428571428571
