,,w,u,total_demand,served,un_served_demand,denied,los
29.0,209,0.0,0.0,1.0,1.0,0.0,0.0,1.0
29.0,211,2.0,0.0,6.0,4.0,2.0,0.0,0.6666666666666666
29.0,87,1.0,0.0,16.0,7.0,9.0,8.0,0.4375
29.0,88,0.0,1.0,7.0,3.0,4.0,4.0,0.42857142857142855
29.0,90,6.0,0.0,38.0,32.0,6.0,0.0,0.8421052631578947
29.0,224,1.0,1.0,17.0,16.0,1.0,0.0,0.9411764705882353
29.0,100,1.0,7.0,118.0,117.0,1.0,0.0,0.9915254237288136
29.0,229,2.0,2.0,45.0,43.0,2.0,0.0,0.9555555555555556
29.0,230,0.0,12.0,29.0,29.0,0.0,0.0,1.0
29.0,231,14.0,0.0,30.0,16.0,14.0,0.0,0.5333333333333333
29.0,232,0.0,0.0,2.0,0.0,2.0,2.0,0.0
29.0,233,2.0,11.0,42.0,40.0,2.0,0.0,0.9523809523809523
29.0,234,3.0,9.0,39.0,36.0,3.0,0.0,0.9230769230769231
29.0,107,7.0,0.0,59.0,52.0,7.0,0.0,0.8813559322033898
29.0,236,18.0,0.0,94.0,70.0,24.0,6.0,0.7446808510638298
29.0,237,8.0,16.0,64.0,56.0,8.0,0.0,0.875
29.0,238,9.0,7.0,50.0,41.0,9.0,0.0,0.82
29.0,239,12.0,0.0,47.0,35.0,12.0,0.0,0.7446808510638298
29.0,113,4.0,9.0,32.0,28.0,4.0,0.0,0.875
29.0,114,3.0,0.0,8.0,3.0,5.0,2.0,0.375
29.0,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,116,4.0,2.0,6.0,2.0,4.0,0.0,0.3333333333333333
29.0,244,1.0,0.0,2.0,0.0,2.0,1.0,0.0
29.0,246,3.0,7.0,11.0,8.0,3.0,0.0,0.7272727272727273
29.0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,249,8.0,5.0,27.0,19.0,8.0,0.0,0.7037037037037037
29.0,125,0.0,2.0,6.0,6.0,0.0,0.0,1.0
29.0,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,4,1.0,0.0,3.0,2.0,1.0,0.0,0.6666666666666666
30.0,261,3.0,0.0,8.0,3.0,5.0,3.0,0.375
30.0,262,0.0,12.0,80.0,86.0,-6.0,0.0,1.075
30.0,263,13.0,10.0,74.0,74.0,0.0,0.0,1.0
30.0,137,11.0,15.0,48.0,39.0,9.0,0.0,0.8125
30.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,13,7.0,0.0,35.0,33.0,2.0,0.0,0.9428571428571428
30.0,140,8.0,22.0,44.0,40.0,4.0,0.0,0.9090909090909091
30.0,141,0.0,35.0,86.0,89.0,-3.0,0.0,1.0348837209302326
30.0,142,6.0,16.0,66.0,60.0,6.0,0.0,0.9090909090909091
30.0,143,4.0,0.0,42.0,38.0,4.0,0.0,0.9047619047619048
30.0,144,5.0,0.0,7.0,1.0,6.0,3.0,0.14285714285714285
30.0,148,0.0,2.0,8.0,3.0,5.0,7.0,0.375
30.0,151,0.0,11.0,24.0,27.0,-3.0,0.0,1.125
30.0,24,1.0,6.0,7.0,6.0,1.0,0.0,0.8571428571428571
30.0,152,2.0,0.0,4.0,1.0,3.0,1.0,0.25
30.0,158,2.0,1.0,16.0,14.0,2.0,0.0,0.875
30.0,161,8.0,25.0,38.0,35.0,3.0,0.0,0.9210526315789473
