,,w,u,total_demand,served,un_served_demand,denied,los
29.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,48,0.0,22.0,101.0,101.0,0.0,0.0,1.0
29.0,50,4.0,11.0,28.0,24.0,4.0,0.0,0.8571428571428571
29.0,186,0.0,52.0,184.0,183.0,1.0,0.0,0.9945652173913043
29.0,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,68,0.0,1.0,45.0,45.0,0.0,0.0,1.0
29.0,74,7.0,0.0,20.0,11.0,9.0,2.0,0.55
29.0,75,9.0,0.0,19.0,10.0,9.0,0.0,0.5263157894736842
29.0,79,5.0,0.0,34.0,29.0,5.0,0.0,0.8529411764705882
29.0,209,0.0,0.0,1.0,1.0,0.0,0.0,1.0
29.0,211,2.0,0.0,6.0,4.0,2.0,0.0,0.6666666666666666
29.0,87,0.0,0.0,16.0,9.0,7.0,7.0,0.5625
29.0,88,0.0,1.0,7.0,5.0,2.0,2.0,0.7142857142857143
29.0,90,5.0,0.0,38.0,33.0,5.0,0.0,0.868421052631579
29.0,224,1.0,2.0,17.0,16.0,1.0,0.0,0.9411764705882353
29.0,100,1.0,40.0,118.0,117.0,1.0,0.0,0.9915254237288136
29.0,229,2.0,5.0,45.0,43.0,2.0,0.0,0.9555555555555556
29.0,230,0.0,8.0,29.0,29.0,0.0,0.0,1.0
29.0,231,13.0,0.0,30.0,17.0,13.0,0.0,0.5666666666666667
29.0,232,0.0,1.0,2.0,2.0,0.0,0.0,1.0
29.0,233,10.0,0.0,42.0,32.0,10.0,0.0,0.7619047619047619
29.0,234,3.0,14.0,39.0,36.0,3.0,0.0,0.9230769230769231
29.0,107,0.0,12.0,59.0,59.0,0.0,0.0,1.0
29.0,236,16.0,0.0,94.0,77.0,17.0,1.0,0.8191489361702128
29.0,237,8.0,15.0,64.0,56.0,8.0,0.0,0.875
29.0,238,9.0,9.0,50.0,41.0,9.0,0.0,0.82
29.0,239,11.0,10.0,47.0,36.0,11.0,0.0,0.7659574468085106
29.0,113,4.0,6.0,32.0,28.0,4.0,0.0,0.875
